age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,prob_subscription,score,global_rank,priority_level,daily_rank
63,technician,married,secondary,no,973,no,no,cellular,25,feb,318,1,388,1,success,yes,0.995,9.952,1,HIGH,1
71,retired,divorced,secondary,no,0,no,no,cellular,26,feb,771,1,171,1,success,yes,0.991,9.921,2,HIGH,2
20,student,single,secondary,no,215,no,no,cellular,24,feb,175,1,92,6,success,yes,0.99,9.913,3,HIGH,3
35,management,single,tertiary,no,681,no,no,cellular,18,feb,737,1,561,2,success,yes,0.987,9.886,4,HIGH,4
23,student,single,secondary,no,0,no,no,cellular,30,apr,297,1,83,6,success,yes,0.986,9.877,5,HIGH,5
25,student,single,secondary,no,469,no,no,cellular,24,feb,524,1,187,2,success,no,0.985,9.866,6,HIGH,6
37,management,married,secondary,no,565,no,no,cellular,29,apr,449,1,398,1,success,yes,0.985,9.864,7,HIGH,7
61,retired,married,tertiary,no,2557,yes,no,cellular,10,feb,158,2,92,5,success,yes,0.984,9.859,8,HIGH,8
19,student,single,secondary,no,329,no,no,cellular,30,apr,169,1,190,2,success,yes,0.984,9.858,9,HIGH,9
43,services,married,secondary,no,774,no,no,cellular,25,mar,101,1,421,1,success,yes,0.983,9.849,10,HIGH,10
37,management,married,tertiary,no,255,no,no,cellular,24,feb,562,2,183,10,success,yes,0.983,9.844,11,HIGH,11
48,admin.,married,secondary,no,660,no,no,cellular,18,feb,318,1,561,2,success,yes,0.983,9.844,12,HIGH,12
26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457,1,80,1,success,yes,0.982,9.839,13,HIGH,13
61,retired,divorced,secondary,no,4243,no,no,cellular,30,apr,315,1,182,2,success,yes,0.982,9.839,14,HIGH,14
60,admin.,married,secondary,no,106,no,no,cellular,24,feb,137,1,187,4,success,yes,0.982,9.836,15,HIGH,15
28,student,single,secondary,no,1925,no,no,cellular,26,feb,139,1,93,3,success,no,0.982,9.839,16,HIGH,16
23,student,single,secondary,no,1234,no,no,cellular,15,feb,379,1,91,1,success,yes,0.981,9.833,17,HIGH,17
72,retired,divorced,tertiary,no,438,no,no,cellular,23,feb,279,1,-1,0,unknown,yes,0.981,9.829,18,HIGH,18
73,retired,married,unknown,no,519,no,no,telephone,26,feb,270,3,133,2,success,yes,0.981,9.833,19,HIGH,19
30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes,0.98,9.816,20,HIGH,20
57,management,divorced,tertiary,no,3287,no,no,cellular,30,mar,277,2,337,1,success,yes,0.98,9.817,21,HIGH,21
62,management,married,tertiary,no,3371,no,no,cellular,25,mar,187,1,178,2,success,yes,0.979,9.808,22,HIGH,22
63,management,married,tertiary,no,2785,no,no,cellular,2,aug,341,2,392,3,success,yes,0.979,9.809,23,HIGH,23
23,unemployed,single,tertiary,no,993,no,no,cellular,27,oct,409,1,91,4,success,no,0.979,9.807,24,HIGH,24
64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,182,1,success,yes,0.979,9.809,25,HIGH,25
